Name,Technology,Location,Age,Owner,Capacity,Efficiency
OCGT Energy Producer D 19,OCGT,gbNode,19,Energy Producer D,347.46895,
OCGT Energy Producer A 20,OCGT,gbNode,20,Energy Producer A,464.11204,
OCGT Energy Producer B 21,OCGT,gbNode,21,Energy Producer B,303.48376,
OCGT Energy Producer C 22,OCGT,gbNode,22,Energy Producer C,139.70472,
OCGT Energy Producer D 23,OCGT,gbNode,23,Energy Producer D,114.56467,
OCGT Energy Producer A 24,OCGT,gbNode,24,Energy Producer A,114.63103,
OCGT Energy Producer B 25,OCGT,gbNode,25,Energy Producer B,105.24171,
OCGT Energy Producer C 26,OCGT,gbNode,26,Energy Producer C,54.8918,
OCGT Energy Producer D 27,OCGT,gbNode,27,Energy Producer D,155.78085,
OCGT Energy Producer A 28,OCGT,gbNode,28,Energy Producer A,80.22783,
OCGT Energy Producer B 29,OCGT,gbNode,29,Energy Producer B,338.66398,
OCGT Energy Producer C 30,OCGT,gbNode,30,Energy Producer C,140.22271,
OCGT Energy Producer D 31,OCGT,gbNode,31,Energy Producer D,228.51509,
OCGT Energy Producer A 32,OCGT,gbNode,32,Energy Producer A,159.2703,
OCGT Energy Producer B 33,OCGT,gbNode,33,Energy Producer B,222.34628,
OCGT Energy Producer C 34,OCGT,gbNode,34,Energy Producer C,228.71431,
OCGT Energy Producer D 35,OCGT,gbNode,35,Energy Producer D,203.57426,
OCGT Energy Producer A 36,OCGT,gbNode,36,Energy Producer A,392.68264,
OCGT Energy Producer B 37,OCGT,gbNode,37,Energy Producer B,468.36844,
OCGT Energy Producer C 38,OCGT,gbNode,38,Energy Producer C,578.70993,
OCGT Energy Producer D 39,OCGT,gbNode,39,Energy Producer D,676.45144,
OCGT Energy Producer A 40,OCGT,gbNode,40,Energy Producer A,648.16386,
Wind Renewable Target Investor GB  1,Wind,gbNode,1,Renewable Target Investor GB,1344.5,
Wind Renewable Target Investor GB  3,Wind,gbNode,3,Renewable Target Investor GB,1344.5,
Wind Renewable Target Investor GB  6,Wind,gbNode,6,Renewable Target Investor GB,1351.2,
WindOffshore Renewable Target Investor GB  1,WindOffshore,gbNode,1,Renewable Target Investor GB,1390,
